,,Jadwal Gasal Teknik Informatika 2025/2026,,,,,,,,,
,,,,,,,,,,,
,08.40 - 09.30,,,,,,,,,Rekayasa Multimedia A (IF 7) - JUMAT / 08:40 - 11:10 / Lab Lantai 4 / Faris,
,09.30 - 10.20,,,,,,,,,,
,10.20 - 11.10,,,,,,,,,,
,11.10 - 12.00,,,,,,,,,,
,12.00 - 13.00,I S T I R A H A T,,,,,,,,,
,13.00 - 13.50,,Agama Islam D (IF 1) - JUMAT / 13:00 - 14:40 / 406 / XXX,RAPAT - JUMAT / 13:00 - 17:10 / 306 / SIDANG SKRIPSI,RAPAT - JUMAT / 13:00 - 17:10 / 304 / SIDANG SKRIPSI,RAPAT - JUMAT / 13:00 - 17:10 / 203 / SIDANG SKRIPSI,,,,Rekayasa Multimedia B (IF 7) - JUMAT / 13:00 - 15:30 / Lab Lantai 4 / Faris,
,13.50 - 14.40,,,,,,,,,,
,14.40 - 15.30,,Agama Islam E (IF 1) - JUMAT / 14:40 - 16:10 / 406 / XXX,,,,,,,,
,15.30 - 16.20,,,,,,,,,,
,16.20 - 17.10,,,,,,,,,,
,17.10 - 18.00,,,,,,,,,,
,,,,,,,,,,,
